year,month,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1984,1,-0.019102,-0.009598,0.005557,0.0148,0.031332,-0.063662,-0.013298,-0.005885,0.001976,0.035989,-0.068586,-0.043442,-0.022916,0.003192,-0.000722,-0.076634,-0.035662,-0.017462,-0.004771,0.004633,-0.057369,-0.007867,0.011506,0.016007,0.069718,0.015689,0.000702,0.009423,-0.006813,-0.007933,-0.00137,-0.004733,-0.000662,-0.007904,-0.036621,-0.012782,-0.039835,-0.011211,-0.050395,-0.042746,-0.039375,-0.026487,-0.008351,-0.033487,-0.049115,-0.014668,0.007413,0.027678,-0.021461,-0.033693,0.005534,-0.004779,-0.002521,0.000046,-0.007344,-0.002788,-0.012517,-0.019118,-0.001778,-0.036922,-0.022013,-0.034274,-0.047202,-0.03956,-0.029116,-0.018039,-0.01993,-0.030782,-0.035837,-0.054025,-0.029688,-0.014207,0.023574,0.005381,-0.0197,0.01,0.0129,0.0145,0.0005,-0.0084,0.0051,-0.0237,-0.0097,-0.0041,-0.0291,-0.0164,-0.03,-0.0056,-0.0363,-0.0645,-0.0276,-0.0279,-0.0228,-0.0403,-0.0741,-0.0135,0.0107,-0.0056,0.0092,-0.0375
1984,2,-0.074494,-0.068015,-0.051317,-0.043727,-0.046509,-0.0717,-0.060016,-0.03853,-0.03305,-0.037283,-0.068523,-0.073464,-0.047416,-0.047001,-0.02255,-0.053992,-0.061759,-0.053552,-0.032073,-0.04699,-0.037706,-0.060619,-0.041709,-0.024506,0.005674,-0.060098,-0.064002,-0.047447,-0.056229,-0.066565,-0.051758,-0.042209,-0.056494,-0.041407,-0.05394,-0.090359,-0.043226,-0.044951,-0.042822,-0.062008,-0.051856,-0.056224,-0.030215,-0.04252,-0.067733,-0.074621,-0.012638,-0.02919,-0.032255,-0.062178,-0.060882,-0.052347,-0.052052,-0.062373,-0.070388,-0.049799,-0.045254,-0.057112,-0.032581,-0.063165,-0.074501,-0.046046,-0.065489,-0.048322,-0.059644,-0.040483,-0.057872,-0.058171,-0.032613,-0.052853,-0.0481,-0.040493,-0.035756,-0.021186,-0.032275,-0.0674,-0.0529,-0.0448,-0.0465,-0.0624,-0.0736,-0.0482,-0.0495,-0.0361,-0.053,-0.0382,-0.0437,-0.0484,-0.0479,-0.0597,-0.0618,-0.0615,-0.0403,-0.0448,-0.0638,-0.036,-0.0272,-0.0334,-0.0397,-0.032
1984,3,-0.009091,0.013777,0.005908,0.01979,0.02151,-0.002551,0.012842,0.009482,0.011668,0.021403,0.006458,0.012648,0.021605,0.013309,0.030488,0.003221,0.016342,0.023706,0.015429,0.042434,0.017833,0.03075,0.001329,0.016822,-0.013487,0.018305,0.01671,0.009792,0.015282,-0.009023,0.022379,0.005958,0.005123,0.011037,0.009251,0.035516,0.009651,0.011845,0.023352,0.004101,0.019859,0.040083,0.018068,0.023483,-0.002603,0.048518,0.016872,-0.00358,0.017016,0.016436,0.003464,0.004098,0.016489,0.006149,0.011726,0.018513,0.005321,0.013366,0.011458,-0.003506,0.008503,0.022279,0.01159,0.004475,0.020573,0.039775,0.021901,0.025257,-0.001031,0.011809,0.042019,0.018845,-0.005896,0.010534,0.018233,-0.0089,0.0062,0.0122,0.0121,0.0146,-0.0044,0.0127,0.0104,0.011,0.0213,-0.0087,0.0147,0.0211,0.0235,0.0173,-0.0091,0.0198,0.0232,0.0227,0.0252,0.0153,0.0196,0.0172,0.0073,0.0134
1984,4,-0.038966,-0.018052,-0.005955,0.000056,-0.009501,-0.012083,0.014723,0.00602,0.000928,-0.011335,0.00308,0.009583,-0.002205,-0.012347,0.00191,-0.017205,0.001739,-0.007273,-0.022838,-0.018442,0.014616,-0.006652,0.012498,0.015951,0.024022,-0.021796,-0.001467,-0.010667,-0.014696,-0.031249,-0.008682,0.003747,-0.001055,0.012935,-0.010646,-0.005222,-0.009832,-0.002439,0.003722,0.010093,-0.026671,-0.012924,-0.00529,-0.004427,-0.023467,-0.027628,0.03148,0.016815,0.001188,0.008075,-0.032039,-0.016434,-0.009368,-0.010623,-0.012547,-0.02459,-0.000555,0.003429,0.004055,0.004974,-0.02706,-0.012201,0.009917,0.012653,0.006138,-0.057641,-0.01009,-0.009795,-0.004962,-0.000973,-0.036705,-0.003216,0.032158,0.011497,0.01709,-0.042,-0.0194,0.0053,-0.0128,-0.0122,-0.0086,-0.0114,0.0019,0.0016,0.0106,-0.0102,-0.0087,0.0095,0.0059,0.0113,-0.0291,-0.0301,-0.0128,0.004,0.0041,0.01,-0.002,0.0149,-0.0001,0.0284
1984,5,-0.061726,-0.043523,-0.050441,-0.033303,-0.035532,-0.060727,-0.050529,-0.050608,-0.038835,-0.0422,-0.059126,-0.055059,-0.058442,-0.039764,-0.063191,-0.038122,-0.043797,-0.054242,-0.052872,-0.075474,-0.051812,-0.033334,-0.062816,-0.041198,-0.06056,-0.057952,-0.04417,-0.032879,-0.024892,-0.059816,-0.062537,-0.033151,-0.041163,-0.039074,-0.066175,-0.06114,-0.049998,-0.035955,-0.057557,-0.062691,-0.093175,-0.050343,-0.049751,-0.044784,-0.036242,-0.038006,-0.063066,-0.047269,-0.044017,-0.04849,-0.061038,-0.040295,-0.044552,-0.033341,-0.04171,-0.064533,-0.052509,-0.041043,-0.050002,-0.046224,-0.100666,-0.04279,-0.042196,-0.053929,-0.051267,-0.082308,-0.057823,-0.048496,-0.036725,-0.044153,-0.081636,-0.047918,-0.063509,-0.031931,-0.04904,-0.0694,-0.0556,-0.0419,-0.0426,-0.0422,-0.0572,-0.05,-0.054,-0.0491,-0.0466,-0.0653,-0.0349,-0.0544,-0.0441,-0.054,-0.0547,-0.0465,-0.0398,-0.0569,-0.074,-0.0758,-0.0455,-0.0528,-0.0436,-0.0446
1984,6,0.013379,0.034629,0.020401,0.016356,0.013223,0.038993,0.046784,0.019103,0.027524,0.011033,0.063236,0.052976,0.008134,0.015515,-0.006284,0.059834,0.047133,0.017892,0.017299,0.025471,0.034782,0.053065,0.020345,-0.010075,0.052226,0.028828,0.034426,0.017977,0.007129,0.010573,0.023709,0.010751,0.044146,0.037131,0.033207,0.018405,0.037585,0.02501,0.035013,0.043983,0.028268,0.022853,0.029827,0.040552,0.050836,0.003671,0.014782,0.050239,0.021024,0.020995,0.009001,0.016652,0.016497,0.033071,0.033462,0.000244,0.024288,0.021781,0.048059,0.0422,0.021334,0.011386,0.022437,0.043185,0.053836,0.015246,0.035775,0.037837,0.032063,0.053652,-0.030774,0.017977,0.051245,0.033647,0.019931,0.0051,0.0153,0.0225,0.0145,0.0191,0.029,0.0396,0.04,0.0366,0.0274,0.0182,0.0326,0.0588,0.0402,0.0107,0.0205,0.0337,0.0497,0.0345,0.0385,0.0463,0.0229,0.0487,0.0105,0.0114
1984,7,-0.071532,-0.050977,-0.045777,-0.018314,-0.02168,-0.052859,-0.052631,-0.014228,-0.037884,-0.038261,-0.035124,-0.033574,-0.029824,-0.030741,-0.009706,-0.038141,-0.046249,-0.025122,-0.045281,-0.004935,0.003151,-0.014032,0.000111,-0.030198,-0.023041,-0.064348,-0.034526,-0.014377,-0.030287,-0.067668,-0.060454,-0.047768,-0.031862,-0.012026,-0.047481,-0.033454,-0.036512,-0.02471,-0.005296,-0.038702,-0.070173,-0.03288,-0.018986,-0.028341,-0.035243,-0.0581,-0.02743,-0.007463,0.016878,-0.013909,-0.080707,-0.031179,-0.035529,-0.031014,-0.041527,-0.077294,-0.063345,-0.024292,-0.01376,-0.033116,-0.056122,-0.024155,-0.037579,-0.027634,-0.012221,-0.085247,-0.040454,-0.028731,-0.019405,-0.014947,-0.034238,-0.007715,-0.02421,-0.022579,0.00631,-0.0852,-0.0562,-0.0248,-0.0223,-0.0087,-0.067,-0.0497,-0.0406,-0.0217,-0.0105,-0.0569,-0.0374,-0.0266,-0.0238,-0.0139,-0.068,-0.0384,-0.0465,-0.0152,-0.0203,-0.0353,-0.0021,0.0041,-0.0165,-0.0245
1984,8,0.11484,0.117329,0.087025,0.068558,0.0879,0.159673,0.10411,0.101406,0.091804,0.103774,0.156732,0.129519,0.10732,0.119692,0.094312,0.127724,0.134089,0.124254,0.1124,0.099794,0.107626,0.101586,0.10177,0.116069,0.124685,0.089132,0.07952,0.086795,0.101401,0.114913,0.130875,0.096951,0.090158,0.115323,0.141541,0.138256,0.096854,0.11115,0.117372,0.144577,0.131408,0.126028,0.118704,0.113264,0.119937,0.138567,0.109909,0.098816,0.104131,0.130335,0.086777,0.100403,0.105949,0.106863,0.115041,0.144683,0.140554,0.11382,0.093608,0.125064,0.146018,0.11802,0.122557,0.119833,0.140313,0.132397,0.12302,0.130438,0.11234,0.109553,0.144323,0.116373,0.096979,0.109277,0.109676,0.1124,0.0995,0.0916,0.0733,0.0674,0.1638,0.1288,0.1331,0.0842,0.0733,0.1505,0.1516,0.1258,0.1017,0.1077,0.1432,0.131,0.1298,0.1191,0.1034,0.1772,0.1207,0.1263,0.1066,0.0802
1984,9,-0.026366,-0.016274,0.005317,0.013544,0.023699,-0.055011,0.003377,0.018965,0.014912,0.031899,-0.039661,0.01454,0.019147,0.020654,0.035611,-0.016553,-0.016176,0.006593,0.014716,0.044734,-0.027342,-0.016342,-0.005149,0.018926,0.031014,0.000373,0.007952,0.003097,0.00505,-0.021922,0.011697,0.003362,0.009859,0.00773,-0.034167,0.008587,0.020887,0.016888,0.02265,-0.025327,-0.007568,0.013581,0.006163,0.016409,-0.012836,-0.008721,0.001566,0.007965,-0.000046,-0.025052,-0.018968,0.003569,0.001156,-0.005455,-0.010238,-0.02687,-0.012562,0.002535,-0.001375,-0.012374,-0.016778,-0.00297,-0.003689,0.013641,0.008272,0.012855,0.000249,-0.00329,-0.001113,0.014548,-0.026985,-0.005746,0.012589,0.00199,-0.005789,-0.0238,-0.0112,0.0071,0.0245,0.0194,-0.0301,-0.0194,-0.0118,0.0154,0.0247,-0.0244,-0.0179,0.0046,0.0126,0.018,0.0088,-0.0023,0.0108,0.0121,0.0111,-0.0309,-0.0311,0.0003,0.0083,0.009
1984,10,-0.039255,-0.013423,-0.021974,-0.014145,-0.012958,-0.029949,-0.016352,-0.001243,0.008749,0.007374,-0.017077,-0.00599,0.014962,-0.017153,0.014924,-0.003345,-0.001696,0.006914,0.003112,0.016904,0.008629,0.02761,0.013048,-0.004461,-0.015342,-0.046641,-0.009542,-0.014851,-0.022643,-0.027387,-0.025661,-0.004862,-0.007216,0.004418,-0.015727,-0.029256,-0.010444,0.009206,0.012863,-0.006275,-0.018043,0.002175,0.004846,0.012002,0.006031,0.00997,-0.011302,0.017087,0.019242,-0.015929,-0.041793,-0.024917,-0.017049,-0.006506,-0.021909,-0.011424,-0.021852,-0.006099,-0.009159,-0.006473,-0.043238,0.004095,-0.009549,0.011137,0.000337,-0.032716,0.025363,0.001447,0.00068,0.005741,0.008129,0.005203,-0.014624,0.009453,0.010129,-0.0468,-0.0183,-0.0134,0.0055,0.0049,-0.0416,-0.0139,-0.0217,0.0034,0.0077,-0.0453,-0.0165,-0.0137,0.0141,0.0144,-0.0337,-0.0071,0.0062,0.0146,0.0216,0.0068,0.0066,-0.0005,0.0116,0.0033
