year,month,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA,SMALL NegNI,SMALL ZeroNI,SMALL LoNI,ME1 NI2,ME1 NI3,ME1 NI4,SMALL HiNI,ME2 NegNI,ME2 ZeroNI,ME2 LoNI,ME2 NI2,ME2 NI3,ME2 NI4,ME2 HiNI,ME3 NegNI,ME3 ZeroNI,ME3 LoNI,ME3 NI2,ME3 NI3,ME3 NI4,ME3 HiNI,ME4 NegNI,ME4 ZeroNI,ME4 LoNI,ME4 NI2,ME4 NI3,ME4 NI4,ME4 HiNI,BIG NegNI,BIG ZeroNI,BIG LoNI,ME5 NI2,ME5 NI3,ME5 NI4,BIG HiNI,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
1984,1,0.005543,0.006565,0.002588,0.000256,-0.007025,-0.028318,0.012529,-0.005741,-0.02465,-0.057584,-0.030439,-0.034764,-0.036469,-0.037343,-0.062341,-0.018958,-0.036469,-0.018759,-0.037732,-0.059695,-0.033653,0.005243,0.004042,0.013143,-0.045665,0.028506,0.01805,0.001219,0.013669,-0.013479,0.004174,0.012374,0.002991,-0.031945,-0.03534,-0.001079,-0.023925,-0.039425,-0.024864,-0.071112,-0.012095,-0.030587,-0.03773,-0.036555,-0.049839,0.002473,-0.022079,0.038431,0.009195,-0.062147,0.015515,0.017114,0.007309,-0.021321,-0.000126,-0.005408,-0.016519,-0.000563,0.005631,-0.017168,-0.007592,-0.04612,-0.013766,-0.02224,-0.023359,-0.025806,-0.014422,-0.049171,-0.049069,-0.030743,-0.050393,-0.014903,-0.016789,-0.031843,-0.057451,-0.049834,-0.036115,-0.01532,0.040216,0.17133,-0.016055,-0.017895,-0.035499,-0.026373,0.007377,0.0041,0.0068,0.005,-0.0074,-0.0082,-0.0126,-0.0074,-0.0003,-0.0175,-0.0378,-0.0475,-0.0442,-0.0124,-0.015,-0.0346,-0.0496,-0.0291,-0.0333,-0.0466,-0.0316,0.0158,-0.027,0.0177,-0.002,-0.0127,0.0284,0.0183,0.0034,0,-0.0052,0.0164,0.0199,0.0005,-0.0171,-0.046,-0.0181,0.0019,-0.0032,-0.0211,-0.0732,-0.0206,-0.0173,-0.0228,-0.0266,-0.0651,-0.0112,0.0078,0.0212,-0.0106,-0.0732,0.012845,0.006982,-0.010575,-0.007412,-0.003011,0.004147,-0.005099,-0.030829,-0.023153,-0.033379,-0.002621,-0.019753,-0.017933,-0.05403,-0.066603,-0.014977,-0.032821,-0.038234,-0.044938,-0.054536,-0.006989,-0.010305,0.00841,0.010965,-0.007388,0.012722,0.008464,-0.004984,-0.006864,-0.007544,0.005668,-0.006998,-0.017863,-0.032031,-0.034823,-0.001422,-0.022447,-0.014675,-0.059334,-0.063887,-0.010265,-0.02421,-0.045275,-0.043102,-0.0611,0.007277,-0.022924,-0.015922,0.034199,-0.009343
1984,2,-0.058903,-0.055597,-0.043205,-0.053908,-0.073506,-0.057496,-0.053507,-0.021449,-0.063171,-0.066367,-0.066991,-0.055632,-0.043378,-0.04731,-0.070258,-0.056819,-0.041779,-0.058518,-0.048537,-0.030977,-0.061258,-0.02333,-0.029391,-0.026049,-0.049452,-0.023681,-0.045784,-0.049136,-0.067012,-0.064067,-0.016136,-0.038644,-0.053249,-0.051022,-0.056946,-0.03714,-0.058512,-0.061393,-0.056391,-0.054707,-0.041462,-0.047483,-0.060696,-0.06242,-0.045111,-0.033464,-0.031261,-0.017755,-0.059049,-0.037089,-0.047648,-0.064152,-0.055204,-0.065938,-0.060166,-0.067757,-0.065352,-0.039852,-0.046333,-0.072564,-0.040835,-0.043582,-0.053878,-0.05232,-0.055687,-0.045787,-0.075895,-0.044079,-0.069482,-0.045637,-0.043508,-0.042795,-0.029354,-0.042846,-0.058565,-0.063309,-0.045679,-0.055029,0.011863,0.026928,-0.040347,-0.040971,-0.044448,-0.048737,-0.047074,-0.0662,-0.067,-0.0455,-0.0574,-0.0723,-0.0595,-0.051,-0.0564,-0.0495,-0.0546,-0.0483,-0.0546,-0.0653,-0.0513,-0.035,-0.0494,-0.0521,-0.0573,-0.0508,-0.0599,-0.0587,-0.0513,-0.0483,-0.0296,0.0042,-0.0618,-0.0423,-0.0388,-0.05,-0.0666,-0.0545,-0.057,-0.0356,-0.0488,-0.0523,-0.0443,-0.0428,-0.0381,-0.0458,-0.0565,-0.0524,-0.058,-0.0493,-0.0441,-0.0642,-0.0459,-0.0227,-0.0238,-0.0393,-0.0657,-0.03735,-0.066643,-0.06339,-0.083643,-0.072732,-0.033926,-0.044383,-0.06307,-0.065322,-0.072199,-0.045833,-0.048831,-0.063352,-0.050785,-0.047209,-0.045219,-0.058047,-0.052891,-0.05913,-0.054736,-0.033434,-0.035751,-0.036273,-0.020816,-0.040244,-0.038472,-0.065389,-0.063585,-0.079462,-0.075368,-0.032521,-0.04587,-0.059939,-0.0714,-0.070369,-0.040944,-0.050672,-0.068378,-0.0333,-0.063451,-0.044182,-0.051962,-0.054983,-0.056465,-0.061156,-0.03541,-0.025987,-0.038553,-0.0478,-0.01854
1984,3,0.017705,-0.007012,0.012148,0.007497,0.013463,0.008793,0.02107,0.009486,0.005661,0.002841,0.041259,0.014382,0.010919,0.016737,0.008298,0.032602,0.030093,0.018904,0.023456,-0.004098,0.017855,0.000725,0.034224,-0.000603,0.014886,0.010958,0.015298,0.020114,0.017065,-0.000876,0.006919,0.016395,0.01451,0.007352,0.007803,-0.000078,0.025564,0.025119,0.013653,0.009101,-0.00512,0.012653,0.052923,0.041271,0.001667,-0.009315,0.030118,0.007589,0.032429,0.006793,0.017779,0.014058,-0.000546,0.022238,0.009453,-0.00274,-0.014125,0.006834,0.02001,0.032691,-0.020035,0.024259,0.00134,0.009586,0.016644,0.014117,0.023158,0.017025,0.029425,0.017034,-0.015801,0.025493,-0.00005,0.041449,0.023458,0.015448,0.025689,-0.009924,0.015968,-0.010552,0.029148,0.019186,0.02103,0.018262,-0.018179,0.0071,0.0078,0.0019,0.0056,-0.0096,0.0122,0.0096,0.0147,-0.0019,0.005,0.0262,0.0327,-0.0006,0.0075,-0.0017,0.0289,0.0339,0.0191,-0.0003,0.0055,0.0459,0.0269,0.0212,0.0065,0.0048,0.0085,0.0298,0.0097,0.0202,0.0016,0.0155,0.0166,0.02,0.0211,-0.0084,0.0222,0.0127,0.0341,0.0036,0.0109,0.0251,0.0304,0.0194,0.0209,-0.0003,0.0292,0.0208,-0.0046,0.0163,0.0209,0.012887,0.014983,0.019334,-0.006214,-0.019646,0.006692,0.011588,0.009156,0.011402,0.002525,0.013915,0.00708,0.024548,0.027855,-0.005644,0.017217,0.022137,0.032743,0.0257,-0.010812,0.010856,0.016528,0.024399,0.006339,0.014314,0.012592,0.016516,0.013304,0.002371,-0.021801,0.005275,0.015049,0.005937,0.022584,-0.004025,0.009566,0.014622,0.023635,0.029193,-0.007203,0.016413,0.020325,0.033991,0.018416,-0.001932,0.010942,0.013834,0.004622,0.0181,0.024271
1984,4,-0.021066,-0.010989,-0.023658,-0.005084,-0.025852,-0.01377,0.014941,0.012893,-0.012589,-0.003962,0.005746,-0.003987,-0.002005,-0.006452,0.022846,-0.002581,-0.014045,-0.010327,-0.015085,-0.016523,0.004511,0.034353,0.009273,0.011226,0.00348,-0.002681,0.004107,-0.007313,-0.019113,-0.031119,0.004216,0.000825,0.015815,-0.004828,-0.010694,-0.012537,0.002986,0.009499,0.000523,-0.012887,-0.014949,0.004085,-0.014652,-0.01761,-0.044822,0.008963,0.014946,0.020358,0.008995,-0.001541,-0.001922,-0.020962,-0.023206,-0.009375,-0.022702,-0.013569,-0.044901,-0.015015,-0.001274,0.0317,0.003162,-0.007881,0.004078,-0.012061,0.009173,-0.018897,0.010871,-0.016166,0.018735,0.002535,-0.005054,0.004959,-0.012085,-0.019709,0.000373,-0.025863,-0.030834,-0.017541,0.030278,0.038281,0.010313,0.006804,0.008677,0.007422,0.005085,-0.0156,-0.0163,-0.0109,-0.022,-0.0354,0.0021,-0.0076,0.003,-0.007,0.0005,0.0045,0.0069,-0.0036,-0.0023,0.0053,0.0065,-0.0212,-0.0176,-0.0175,-0.0167,0.0082,0.0265,0.0217,0.0037,-0.0193,-0.0221,-0.0105,-0.0017,-0.0056,-0.0134,-0.0157,-0.0059,0.0069,0.0017,0.0097,-0.0064,-0.0117,0.0066,-0.0004,-0.002,-0.0217,-0.0164,-0.0135,-0.0078,-0.0062,-0.0036,0.0148,0.01,0.0136,0.0147,0.00098,-0.003018,-0.012515,-0.02417,-0.054917,0.006201,0.005174,0.00114,-0.007759,-0.012919,0.009222,0.012222,-0.006047,0.000337,-0.008932,-0.008185,-0.010449,-0.01256,-0.011794,-0.029969,0.015991,0.008028,0.01662,0.001542,0.008492,0.004042,-0.009246,-0.01114,-0.022431,-0.055008,0.005757,0.007386,-0.000646,-0.015406,-0.00694,0.01323,-0.000352,0.000569,0.00232,-0.010149,-0.012611,0.000593,-0.011582,-0.022897,-0.026435,0.016467,0.01277,0.016305,0.000502,0.006195
1984,5,-0.047283,-0.045293,-0.041856,-0.03172,-0.054754,-0.038427,-0.041369,-0.038532,-0.042458,-0.063021,-0.060013,-0.043675,-0.045407,-0.051674,-0.072879,-0.0875,-0.045301,-0.041445,-0.046074,-0.021122,-0.040582,-0.051409,-0.04147,-0.04059,-0.055061,-0.016998,-0.027705,-0.053821,-0.059704,-0.070147,-0.021111,-0.05249,-0.049917,-0.047368,-0.064932,-0.007731,-0.051289,-0.05133,-0.067411,-0.082608,-0.019226,-0.05553,-0.065095,-0.065793,-0.072388,-0.036266,-0.051052,-0.054858,-0.065204,-0.073418,-0.038352,-0.04192,-0.054765,-0.063042,-0.062265,-0.039575,-0.046224,-0.04927,-0.037963,-0.040803,-0.067472,-0.042624,-0.047317,-0.053539,-0.053529,-0.042392,-0.066529,-0.057344,-0.057994,-0.048845,-0.04775,-0.042848,-0.040245,-0.083824,-0.054895,-0.063886,-0.04216,-0.0374,-0.051726,-0.005561,-0.049343,-0.053151,-0.058413,-0.062727,-0.036275,-0.0546,-0.0569,-0.041,-0.0499,-0.071,-0.061,-0.0518,-0.0503,-0.0433,-0.061,-0.0546,-0.0523,-0.0425,-0.0465,-0.0596,-0.054,-0.0511,-0.0531,-0.0496,-0.0739,-0.0384,-0.0473,-0.0412,-0.0506,-0.0684,-0.0519,-0.028,-0.0288,-0.0573,-0.0495,-0.0715,-0.0481,-0.0301,-0.0471,-0.0568,-0.0753,-0.0413,-0.0314,-0.0499,-0.0453,-0.0966,-0.0537,-0.0497,-0.0361,-0.0473,-0.0733,-0.0386,-0.0468,-0.0601,-0.0568,-0.028103,-0.047982,-0.055274,-0.065458,-0.082879,-0.03026,-0.040562,-0.038662,-0.07646,-0.084388,-0.032892,-0.036247,-0.055312,-0.062785,-0.07274,-0.027978,-0.044232,-0.060506,-0.05595,-0.081827,-0.037156,-0.042997,-0.069353,-0.058062,-0.06001,-0.027988,-0.047891,-0.053461,-0.069759,-0.081543,-0.029996,-0.044159,-0.039557,-0.064487,-0.089744,-0.031799,-0.040587,-0.051484,-0.064752,-0.071058,-0.027054,-0.049974,-0.065271,-0.044286,-0.084999,-0.037126,-0.033696,-0.0614,-0.072414,-0.056924
1984,6,0.035605,0.029154,0.01615,0.013258,0.014861,0.04189,0.006496,0.017581,0.023063,0.035885,0.014073,0.032216,0.044747,0.035896,0.037996,0.042401,0.033681,0.02437,0.040805,0.047053,0.02892,0.012582,0.029198,0.031653,0.049003,0.014439,0.022453,0.029727,0.025724,0.017038,0.029167,0.042094,0.027796,0.025473,0.023747,0.027103,0.050003,0.040199,0.008574,0.039076,0.040692,0.038212,0.021797,0.037791,0.023638,0.060034,0.015075,0.003504,0.01929,0.001046,0.025728,0.019566,0.022475,0.028039,0.026416,-0.002618,0.012219,0.014105,0.027254,0.013226,0.044185,0.032367,0.036609,0.042696,0.04575,0.026346,0.026818,0.041562,0.049986,0.018235,0.027545,0.017176,0.060022,0.05174,0.051973,0.035815,0.037164,0.023618,0.037237,0.002878,0.012256,0.026756,0.01694,0.020024,0.054958,0.0272,0.014,0.0076,0.0032,0.0119,0.0544,0.0482,0.0343,0.0266,0.0081,0.0372,0.0284,0.0425,0.0221,0.0424,0.0313,0.0511,0.0308,0.0319,0.0312,0.0116,0.0222,0.0189,0.0262,0.0384,0.012,0.0243,0.0258,0.0199,0.024,0.0315,0.024,0.0246,0.0313,0.0474,-0.0172,0.0095,0.0248,0.0441,0.0576,0.018,0.0127,0.026,0.0389,0.0761,-0.0001,0.0121,0.0136,0.0418,0.0647,0.017084,0.029671,0.018256,0.025826,-0.009671,0.025997,0.032823,0.031795,0.056279,0.028745,0.032416,0.030266,0.043416,0.044273,0.020916,0.035635,0.036,0.022629,0.0387,0.04432,0.015846,0.028422,0.014637,0.025321,0.032399,0.016972,0.028167,0.015717,0.032069,-0.009961,0.024583,0.034031,0.02652,0.060076,0.033872,0.029856,0.0298,0.043875,0.048459,0.021771,0.027836,0.033805,0.027002,0.031538,0.056471,0.020618,0.023536,0.023115,0.005758,0.034411
1984,7,-0.068024,-0.046311,-0.039147,-0.041209,-0.057251,-0.051968,-0.055585,-0.042656,-0.057667,-0.050867,-0.048763,-0.0312,-0.026316,-0.030346,-0.047707,-0.051535,-0.0477,-0.025501,-0.024238,-0.041578,-0.014934,-0.029668,-0.026562,0.012662,-0.000021,-0.014379,-0.015313,-0.03965,-0.03496,-0.079442,-0.007298,-0.018,-0.035888,-0.038318,-0.069079,0.007371,-0.026635,-0.010601,-0.046647,-0.065332,-0.011874,-0.019039,-0.033349,-0.053129,-0.082366,0.00257,-0.002512,-0.028463,-0.031149,-0.051704,-0.027588,-0.037231,-0.040804,-0.035486,-0.050845,-0.060738,-0.074593,-0.032487,-0.058183,-0.041964,-0.040874,-0.015405,-0.03187,-0.051204,-0.012855,-0.032558,-0.026782,-0.020758,-0.034896,-0.019347,-0.04597,-0.042041,-0.024407,-0.043395,-0.024544,-0.018216,-0.053006,-0.022132,-0.018963,-0.051894,-0.027973,0.001812,-0.009971,0.006631,-0.003898,-0.0597,-0.0338,-0.0365,-0.0368,-0.0657,-0.0673,-0.0305,-0.0276,-0.0323,-0.0461,-0.0403,-0.0262,-0.0241,-0.0339,-0.03,-0.0775,-0.0249,-0.015,-0.0363,-0.0377,-0.0653,-0.0013,-0.0038,0.0063,0.0032,-0.0538,-0.0248,-0.0314,-0.026,-0.037,-0.0765,-0.0278,-0.0143,-0.0106,-0.045,-0.0627,-0.0067,-0.0331,-0.0261,-0.0155,-0.0755,-0.0144,-0.0273,-0.0323,-0.0438,-0.0528,-0.0126,-0.003,-0.0097,-0.0141,-0.006692,-0.022568,-0.05337,-0.069011,-0.097998,-0.01049,-0.031952,-0.04413,-0.055538,-0.075693,0.002236,-0.017324,-0.035218,-0.032302,-0.074294,-0.016474,-0.023643,-0.042199,-0.049201,-0.043099,0.005432,-0.006359,-0.01766,-0.018702,-0.024939,-0.006401,-0.025617,-0.048012,-0.071482,-0.102076,-0.009813,-0.032964,-0.042852,-0.050586,-0.084044,0.001615,-0.01633,-0.026105,-0.044624,-0.070796,-0.014689,-0.025296,-0.048064,-0.041519,-0.045089,0.006545,-0.003913,-0.018353,-0.025754,-0.00944
1984,8,0.096331,0.108385,0.099589,0.110867,0.093695,0.128662,0.122612,0.104534,0.13225,0.147647,0.122504,0.133796,0.131674,0.122158,0.142981,0.122508,0.137665,0.102995,0.117973,0.123605,0.112693,0.124214,0.090455,0.103528,0.120776,0.046754,0.060042,0.075131,0.093771,0.124707,0.064065,0.074621,0.104292,0.135866,0.169459,0.076465,0.113741,0.1024,0.15325,0.167257,0.084894,0.10689,0.133518,0.129182,0.178064,0.075209,0.119366,0.126578,0.121152,0.167105,0.08163,0.080561,0.10541,0.105979,0.090507,0.104173,0.105504,0.099503,0.08489,0.111172,0.132486,0.121186,0.126007,0.134327,0.115156,0.105883,0.131197,0.144263,0.111295,0.113319,0.135215,0.123636,0.085441,0.119931,0.128965,0.128427,0.120739,0.112134,0.100627,0.080597,0.108093,0.100513,0.134806,0.103052,0.127462,0.1263,0.1015,0.0893,0.0541,0.0736,0.1869,0.127,0.114,0.0907,0.0793,0.1649,0.1529,0.1245,0.1154,0.096,0.183,0.1446,0.1183,0.0929,0.0968,0.1607,0.1434,0.1139,0.0926,0.084,0.0855,0.0848,0.0854,0.094,0.1214,0.1166,0.1147,0.1134,0.093,0.1464,0.1225,0.1233,0.1078,0.1308,0.1339,0.1292,0.1193,0.1197,0.126,0.1317,0.1341,0.1057,0.1069,0.1033,0.1244,0.05809,0.098408,0.121127,0.116519,0.090601,0.075959,0.111038,0.127843,0.152157,0.159335,0.090728,0.12035,0.126025,0.170503,0.143721,0.088843,0.123346,0.138917,0.1418,0.128667,0.086611,0.108155,0.114406,0.117341,0.141795,0.057777,0.096989,0.118838,0.12027,0.090296,0.076549,0.109968,0.120735,0.148277,0.170138,0.085514,0.129925,0.121458,0.169167,0.143983,0.08517,0.133508,0.119102,0.142741,0.138811,0.067801,0.104485,0.129109,0.122747,0.136519
1984,9,-0.008736,0.005766,0.002915,-0.008119,-0.017544,-0.021667,-0.02478,-0.017527,-0.008575,-0.029385,0.005632,-0.011806,0.020391,-0.018669,-0.027691,-0.009745,-0.016287,0.007896,0.007087,-0.00818,-0.010078,-0.009124,0.015112,-0.011886,-0.000572,0.023767,0.019653,-0.005084,0.00298,-0.022736,0.032977,0.036535,0.007007,-0.025327,-0.036809,0.042497,0.01287,0.019187,-0.009492,-0.02438,0.028012,0.036124,-0.011501,-0.012516,-0.032164,0.013856,0.001617,-0.010772,-0.024127,-0.02427,0.006581,0.020028,-0.003164,-0.009212,-0.006693,-0.000231,-0.029482,0.008901,-0.003186,0.000711,0.009577,-0.014956,-0.007295,-0.032209,0.010407,0.033272,0.01505,0.002545,0.002394,0.013871,-0.024465,0.041036,-0.00855,0.007691,-0.007381,-0.014708,0.007852,-0.000182,-0.000583,0.002906,0.001021,-0.006345,-0.006279,0.000792,0.006101,0.0119,0.0088,0.0058,-0.0123,-0.0283,0.0228,0.025,-0.004,-0.0328,-0.041,0.0202,0.0085,0.0237,-0.0114,-0.0356,0.0448,0.0291,0.0028,0.0041,-0.0232,0.0177,0.009,-0.0035,-0.0117,-0.0183,0.0093,0.0124,0.0149,0.0031,0.0024,0.0134,0.0188,0.0143,-0.002,-0.002,-0.0192,0.0202,0.0342,0.009,-0.0119,0.0102,0.0312,0.0178,0.0035,-0.0074,-0.0266,0.0062,0.0129,-0.0148,-0.0334,0.025184,0.009672,-0.009619,-0.012905,-0.031219,0.029963,-0.006074,-0.004296,-0.03953,-0.032362,0.02835,0.009689,-0.003926,0.000775,-0.040369,0.037202,0.006311,0.002377,-0.009861,0.003801,0.014646,-0.003633,-0.018728,-0.000394,-0.016431,0.027158,0.007162,-0.004128,-0.02044,-0.031493,0.032131,-0.004216,-0.001298,-0.039803,-0.040517,0.033889,0.013344,0.000389,0.000801,-0.050489,0.030219,0.015223,0.003787,0.006514,-0.015077,0.026367,-0.00345,-0.007391,-0.006985,-0.025009
1984,10,-0.044111,-0.024632,-0.01641,-0.010888,-0.033323,-0.024679,-0.034669,0.002473,-0.008706,-0.025615,-0.034805,-0.012437,0.011316,-0.011799,-0.005759,-0.004238,-0.004152,0.008147,0.014173,-0.008334,0.014708,-0.006425,-0.000419,0.010526,0.015387,0.007326,0.002482,-0.01464,-0.02972,-0.042316,0.001447,0.009892,-0.005456,-0.01803,-0.024153,0.033904,-0.002895,0.003433,-0.02365,-0.022546,0.029759,0.00738,-0.006604,-0.008594,-0.02085,0.025366,0.002865,-0.002392,-0.027438,0.000458,-0.015843,-0.024471,-0.035813,-0.033036,-0.034079,-0.014825,-0.025561,-0.013795,0.007211,-0.024136,-0.022714,-0.000712,-0.025914,-0.002786,-0.011556,-0.003125,-0.015782,-0.001835,0.014411,0.011734,-0.016211,-0.008557,-0.003892,-0.008519,0.006473,0.014231,-0.000407,0.017462,0.01243,-0.032654,0.003383,0.003908,0.002573,0.010615,0.004384,-0.0367,-0.0211,-0.0108,-0.0034,-0.0178,-0.0414,-0.0118,0.001,-0.0023,-0.0094,-0.0298,-0.0132,-0.0011,0.0026,0.0046,-0.0106,-0.0007,0.0114,0.0114,0.0045,0.0109,0.0106,0.0065,-0.0051,0.019,-0.0259,-0.0106,-0.0037,-0.011,-0.0197,-0.0311,-0.0002,0.0075,-0.0067,-0.0156,-0.0655,-0.0004,0.0203,-0.0068,0.0032,-0.0217,0.0037,0.0048,0.019,0.0176,-0.0105,-0.0068,0.0231,0.015,-0.0118,0.014104,-0.002137,-0.022644,-0.036913,-0.056458,0.01933,-0.008978,-0.018417,-0.032355,-0.050938,0.010925,0.001469,0.00197,-0.010748,-0.040682,0.030542,0.017922,0.012421,-0.014187,-0.031087,0.01042,0.013839,-0.015544,0.009503,-0.004521,0.012465,-0.001092,-0.025121,-0.035363,-0.054689,0.020113,-0.012044,-0.014456,-0.045034,-0.046935,0.014933,-0.004028,-0.003351,-0.004316,-0.042739,0.037837,0.008287,0.006219,-0.012344,-0.02481,0.010053,0.01075,-0.000015,-0.000912,-0.002023
