year,month,MKTRF,SMB,HML,RMW,CMA,UMD,HMLM,REG,IA,ROE,ME,PEAD,FIN,STR,ILR,EPRD
1984,1,-0.0192,-0.0004,0.0758,-0.0089,0.0292,-0.0256,0.092739283,0.009207,0.024216,-0.037825,-0.010795,-0.01549149,0.075721082,0.0064,0.026049,0.020298
1984,2,-0.0482,-0.0159,0.0333,0.009,0.0158,0.0022,0.031452477,0.00767,0.008081,-0.006922,-0.017614,0.031185316,0.070777949,-0.0206,0.027709,-0.003037
1984,3,0.0063,-0.0029,0.0046,-0.0096,0.0117,0.0107,0.005014358,0.013193,0.007438,-0.007087,-0.002057,-0.014398142,0.027657244,0.0251,-0.017814,-0.006557
1984,4,-0.0051,-0.0095,0.012,0.0334,0.0076,0.0207,-0.001867037,0.024241,0.011412,0.021254,-0.010198,0.014819159,0.033499416,0.0161,-0.038993,-0.018198
1984,5,-0.0597,0.0013,0.0031,0.0236,-0.0046,0.0151,0.004169943,0.018653,-0.014779,0.018038,-0.004289,-0.006380987,0.007610636,0.0081,-0.008086,-0.036212
1984,6,0.0182,0.0011,-0.0266,0.0317,-0.0156,-0.007,-0.028365248,0.005022,-0.02224,0.017342,0.004361,0.00061238,-0.009368053,0.0096,0.039782,-0.050123
1984,7,-0.0274,-0.0222,0.0036,0.0355,-0.0215,0.0285,0.00664918,0.026832,-0.011333,0.035624,-0.024358,0.001613647,0.013636595,-0.0145,0.100022,-0.017646
1984,8,0.1028,-0.0026,-0.0182,-0.0068,-0.0092,-0.0559,-0.000269533,0.002173,-0.005642,0.009595,0.002388,-0.026970178,-0.036394498,0.0729,-0.041913,0.024608
1984,9,-0.008,-0.0003,0.0528,0.0137,0.0241,0.0362,0.047160769,0.012525,0.026125,0.002634,-0.006136,0.008444582,0.065804662,0.0428,-0.078094,0.039999
1984,10,-0.0084,-0.0144,0.0045,0.0118,-0.0109,0.0316,0.004194249,0.016277,-0.001114,0.027274,-0.013783,0.007199041,0.004014979,-0.0121,0.030391,-0.032382
1984,11,-0.0176,-0.0102,0.0406,0.0072,0.0206,0.0164,0.036495401,0.01603,0.022324,0.008237,-0.010661,0.015463675,0.04294297,-0.0067,-0.002673,-0.011428
