"","SSA","MAX","PY","COM","CGRS","SSA","MAX","PY","COM","CGRS"
"CAPM",0.804,0.262,0.8,0.458,0.354,1,0.804,0.858,0.812,0.733
"FF3",0.842,0.908,1,0.971,1,0.992,0.992,1,1,1
"DHS3",0.621,0.25,0.787,0.354,0.771,0.842,0.575,0.808,0.621,0.804
"HXZ4",0.588,0.717,0.433,0.379,0.312,0.721,0.787,0.662,0.621,0.462
"Q5",0.537,0.271,0.358,0.304,0.246,0.65,0.637,0.492,0.467,0.429
"FF5",0.65,0.588,0.438,0.462,0.321,0.8,0.787,0.725,0.721,0.404
"FF6",0.796,0.483,0.5,0.442,0.412,0.858,0.771,0.792,0.738,0.546
"BS6",0.679,0.671,0.579,0.554,0.533,0.775,0.883,0.742,0.746,0.617
"FLWZ8",0.546,0,0.112,0,0.108,0.713,0.146,0.15,0.121,0.15
"CAPM",0.967,0.25,0.917,0.475,0.533,1,0.842,1,0.892,0.908
"FF3",0.933,1,1,1,1,1,1,1,1,1
"DHS3",0.858,0.467,1,0.625,1,0.95,0.85,1,1,1
"HXZ4",0.625,1,0.65,0.742,0.533,0.733,1,0.892,1,0.758
"Q5",0.558,0.525,0.325,0.442,0.267,0.633,0.792,0.533,0.583,0.483
"FF5",0.642,0.867,0.808,0.825,0.642,0.85,1,1,1,0.808
"FF6",0.892,0.717,0.783,0.725,0.825,0.95,1,1,1,1
"BS6",0.758,1,1,1,1,0.858,1,1,1,1
"FLWZ8",0.5,0,0,0,0,0.667,0,0,0,0
"CAPM",0.642,0.275,0.683,0.442,0.175,1,0.767,0.717,0.733,0.558
"FF3",0.75,0.817,1,0.942,1,0.983,0.983,1,1,1
"DHS3",0.383,0.033,0.575,0.083,0.542,0.733,0.3,0.617,0.242,0.608
"HXZ4",0.55,0.433,0.217,0.017,0.092,0.708,0.575,0.433,0.242,0.167
"Q5",0.517,0.017,0.392,0.167,0.225,0.667,0.483,0.45,0.35,0.375
"FF5",0.658,0.308,0.067,0.1,0,0.75,0.575,0.45,0.442,0
"FF6",0.7,0.25,0.217,0.158,0,0.767,0.542,0.583,0.475,0.092
"BS6",0.6,0.342,0.158,0.108,0.067,0.692,0.767,0.483,0.492,0.233
"FLWZ8",0.592,0,0.225,0,0.217,0.758,0.292,0.3,0.242,0.3
